cell_id	2020_Jan	2020_Feb	2020_Mar	2020_Apr	2020_May	2020_Jun	2020_Jul	2020_Aug	2020_Sep	2020_Oct	2020_Nov	2020_Dec	2030_Jan	2030_Feb	2030_Mar	2030_Apr	2030_May	2030_Jun	2030_Jul	2030_Aug	2030_Sep	2030_Oct	2030_Nov	2030_Dec	2040_Jan	2040_Feb	2040_Mar	2040_Apr	2040_May	2040_Jun	2040_Jul	2040_Aug	2040_Sep	2040_Oct	2040_Nov	2040_Dec	2050_Jan	2050_Feb	2050_Mar	2050_Apr	2050_May	2050_Jun	2050_Jul	2050_Aug	2050_Sep	2050_Oct	2050_Nov	2050_Dec	2060_Jan	2060_Feb	2060_Mar	2060_Apr	2060_May	2060_Jun	2060_Jul	2060_Aug	2060_Sep	2060_Oct	2060_Nov	2060_Dec	2070_Jan	2070_Feb	2070_Mar	2070_Apr	2070_May	2070_Jun	2070_Jul	2070_Aug	2070_Sep	2070_Oct	2070_Nov	2070_Dec	2080_Jan	2080_Feb	2080_Mar	2080_Apr	2080_May	2080_Jun	2080_Jul	2080_Aug	2080_Sep	2080_Oct	2080_Nov	2080_Dec
75	4.236	2.873	3.754	2.329	2.148	2.381	1.900	2.675	3.774	3.934	4.764	4.015	4.571	2.766	3.640	2.419	2.125	2.693	1.844	2.526	3.937	4.455	4.911	4.503	4.294	2.808	3.611	2.787	2.460	2.696	1.902	2.474	3.987	4.937	5.129	4.845	4.366	3.206	4.046	2.686	2.144	2.682	1.863	2.445	4.099	4.822	5.705	4.847	4.220	3.326	4.300	2.489	2.026	2.415	1.928	2.442	3.669	4.767	5.916	4.441	4.411	3.173	4.359	2.130	1.885	2.593	1.924	2.569	3.983	4.793	6.259	4.791	4.224	2.831	4.247	2.178	2.098	2.850	1.947	2.539	4.207	5.417	6.049	4.595
76	4.293	2.793	3.753	2.271	2.121	2.234	1.748	2.604	3.507	3.795	4.376	3.611	4.694	2.667	3.639	2.401	2.089	2.500	1.689	2.464	3.626	4.309	4.456	4.059	4.381	2.713	3.696	2.699	2.419	2.429	1.773	2.367	3.733	4.814	4.714	4.326	4.436	3.124	4.165	2.622	2.136	2.423	1.762	2.349	3.766	4.762	5.187	4.291	4.255	3.288	4.394	2.417	2.026	2.230	1.818	2.355	3.387	4.600	5.456	3.955	4.457	3.125	4.362	2.093	1.873	2.490	1.788	2.546	3.664	4.587	5.774	4.283	4.208	2.826	4.163	2.162	2.111	2.683	1.775	2.514	3.994	5.090	5.567	4.099
114	4.321	2.777	3.737	2.276	1.952	1.995	1.671	2.270	3.539	3.822	4.794	4.154	4.704	2.654	3.651	2.319	1.980	2.318	1.632	2.112	3.643	4.414	4.966	4.673	4.470	2.673	3.562	2.568	2.253	2.359	1.662	2.041	3.694	4.928	5.243	4.983	4.658	3.079	3.937	2.449	1.982	2.329	1.582	2.001	3.813	4.907	5.892	4.891	4.473	3.201	4.129	2.296	1.841	2.002	1.604	2.003	3.426	4.682	6.123	4.499	4.682	3.098	4.215	2.044	1.717	2.069	1.584	2.150	3.707	4.639	6.433	4.800	4.372	2.763	4.044	2.045	1.868	2.289	1.573	2.113	3.848	5.202	6.145	4.533
153	4.309	2.545	3.504	2.162	1.844	1.830	1.456	2.087	3.399	3.519	4.668	4.217	4.798	2.448	3.377	2.210	1.857	2.116	1.425	1.963	3.474	4.129	4.782	4.783	4.623	2.496	3.309	2.404	2.119	2.135	1.473	1.870	3.513	4.623	5.155	5.078	4.898	2.852	3.613	2.301	1.888	2.108	1.404	1.851	3.654	4.630	5.833	4.947	4.711	2.969	3.808	2.172	1.765	1.805	1.428	1.852	3.306	4.325	6.129	4.521	4.916	2.865	3.920	1.955	1.661	1.863	1.410	2.043	3.630	4.230	6.377	4.824	4.503	2.625	3.769	1.948	1.803	2.044	1.382	2.001	3.747	4.704	6.094	4.484
264	3.612	2.793	3.307	2.068	1.706	1.734	1.746	2.595	3.500	3.924	4.180	3.816	4.016	2.658	3.117	2.083	1.796	2.135	1.791	2.512	3.619	4.268	4.355	4.128	3.597	2.609	3.067	2.239	1.951	2.169	1.909	2.376	3.557	4.576	4.506	4.412	3.897	2.799	3.226	2.244	1.769	2.174	1.883	2.302	3.882	4.340	5.030	4.334	3.832	2.842	3.311	2.145	1.563	1.815	1.857	2.268	3.551	4.272	5.130	4.046	4.424	2.710	3.608	2.054	1.504	1.822	1.747	2.353	3.783	4.236	5.354	4.238	4.420	2.760	3.703	2.051	1.538	1.804	1.539	2.417	3.768	4.508	5.215	3.789
294	5.157	3.779	4.720	2.533	2.094	2.467	2.879	3.280	5.114	4.617	4.897	5.673	5.935	3.678	4.637	2.590	2.197	2.755	2.666	3.253	5.105	5.067	5.445	5.676	5.264	3.611	4.212	2.869	2.541	2.919	2.592	2.982	5.008	5.510	6.383	6.194	5.936	3.829	4.533	2.759	2.429	2.922	2.509	2.925	5.124	5.275	6.540	6.268	5.497	3.999	4.666	2.536	2.153	2.580	2.653	2.745	4.574	5.532	6.473	6.047	6.024	3.862	5.152	2.413	2.015	2.418	2.845	2.645	4.896	5.944	6.412	6.226	5.720	3.784	5.213	2.513	2.155	2.453	2.633	2.662	5.019	6.063	6.535	5.660
295	4.634	3.618	4.316	2.415	2.000	2.419	2.629	3.282	4.847	4.283	4.695	5.288	5.294	3.539	4.217	2.467	2.118	2.730	2.502	3.209	4.864	4.767	5.155	5.290	4.715	3.450	3.877	2.720	2.453	2.874	2.425	2.896	4.795	5.247	6.051	5.691	5.280	3.666	4.150	2.642	2.373	2.840	2.379	2.804	4.949	5.043	6.173	5.770	4.918	3.777	4.277	2.471	2.113	2.508	2.488	2.625	4.422	5.192	6.135	5.489	5.377	3.670	4.734	2.355	1.951	2.421	2.689	2.577	4.732	5.545	6.031	5.703	5.042	3.634	4.802	2.437	2.084	2.422	2.448	2.561	4.910	5.633	6.196	5.121
303	3.333	2.525	3.019	1.870	1.637	1.675	1.716	2.541	3.349	3.563	3.913	3.679	3.700	2.390	2.834	1.879	1.744	2.086	1.726	2.480	3.465	3.904	3.964	3.930	3.266	2.311	2.829	1.996	1.918	2.096	1.802	2.245	3.376	4.170	4.011	4.155	3.530	2.489	2.963	2.029	1.757	2.118	1.769	2.174	3.671	4.044	4.415	3.992	3.475	2.527	3.005	1.989	1.524	1.748	1.754	2.157	3.352	3.964	4.563	3.765	3.994	2.442	3.265	1.928	1.449	1.780	1.653	2.341	3.526	3.905	4.864	3.829	3.946	2.512	3.365	1.930	1.493	1.752	1.402	2.398	3.511	4.079	4.791	3.362
304	3.354	2.545	3.008	1.825	1.616	1.591	1.588	2.396	3.194	3.494	3.825	3.602	3.743	2.420	2.819	1.833	1.713	1.984	1.574	2.341	3.289	3.941	3.869	3.922	3.296	2.368	2.808	1.956	1.877	1.968	1.656	2.089	3.169	4.240	3.947	4.131	3.552	2.548	2.905	1.971	1.712	1.967	1.630	2.056	3.448	4.155	4.341	4.007	3.493	2.586	2.970	1.938	1.491	1.588	1.612	2.069	3.152	3.958	4.552	3.746	4.049	2.481	3.217	1.867	1.420	1.649	1.525	2.338	3.369	3.810	4.844	3.780	3.973	2.546	3.313	1.857	1.403	1.673	1.280	2.401	3.323	4.025	4.731	3.304
332	6.355	4.775	6.077	3.415	3.047	3.651	4.487	4.743	6.794	5.894	6.509	7.445	7.386	4.662	5.956	3.489	3.194	4.048	4.128	4.765	6.698	6.762	7.358	7.626	6.718	4.672	5.472	3.997	3.656	4.209	4.079	4.463	6.452	7.176	8.357	8.415	7.391	4.880	5.964	3.830	3.490	4.214	3.938	4.397	6.601	6.987	8.517	8.577	6.843	5.187	6.242	3.464	3.060	3.708	4.146	4.205	6.012	7.157	8.328	8.300	7.434	4.986	6.959	3.229	2.834	3.569	4.375	4.028	6.523	7.755	8.312	8.383	7.408	4.910	7.001	3.433	2.999	3.626	4.178	4.132	6.746	7.936	8.534	7.598
